Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
16/12/2006;17:24:00;4.216;0.418;234.840;18.400;0.000;1.000;17.000
16/12/2006;17:25:00;5.360;0.436;233.630;23.000;0.000;1.000;16.000
16/12/2006;17:26:00;5.374;0.498;233.290;23.000;0.000;2.000;17.000
16/12/2006;17:27:00;5.388;0.502;233.740;23.000;0.000;1.000;17.000
16/12/2006;17:28:00;3.666;0.528;235.680;15.800;0.000;1.000;17.000
16/12/2006;17:29:00;3.520;0.522;235.020;15.000;0.000;2.000;17.000
16/12/2006;17:30:00;3.702;0.520;235.090;15.800;0.000;1.000;17.000
16/12/2006;17:31:00;3.700;0.520;235.220;15.800;0.000;1.000;17.000
16/12/2006;17:32:00;3.668;0.510;233.990;15.800;0.000;1.000;17.000
17/12/2006;09:44:00;0.338;0.076;241.210;1.400;0.000;0.000;0.000
17/12/2006;09:45:00;0.290;0.000;241.100;1.400;0.000;0.000;0.000
17/12/2006;09:46:00;1.466;0.000;240.920;7.400;0.000;0.000;0.000
17/12/2006;09:47:00;2.324;0.050;239.840;9.600;0.000;0.000;0.000
17/12/2006;09:48:00;2.320;0.052;239.140;9.600;0.000;0.000;0.000
17/12/2006;09:49:00;2.308;0.052;238.590;9.600;0.000;0.000;0.000
17/12/2006;09:50:00;2.314;0.054;238.760;9.600;0.000;0.000;0.000
17/12/2006;09:51:00;2.312;0.052;239.030;9.600;0.000;0.000;0.000
17/12/2006;09:52:00;2.306;0.052;239.260;9.600;0.000;0.000;0.000
17/12/2006;09:53:00;0.444;0.000;241.820;3.000;0.000;0.000;0.000
17/12/2006;09:54:00;0.268;0.000;242.480;1.200;0.000;0.000;0.000
17/12/2006;09:55:00;1.846;0.046;240.120;8.400;0.000;0.000;0.000
17/12/2006;09:56:00;2.308;0.054;238.670;9.600;0.000;0.000;0.000
17/12/2006;09:57:00;2.290;0.056;238.040;9.600;0.000;0.000;0.000
17/12/2006;09:58:00;2.288;0.056;238.090;9.600;0.000;0.000;0.000
17/12/2006;09:59:00;2.296;0.054;238.130;9.600;0.000;0.000;0.000
17/12/2006;10:00:00;2.292;0.054;238.030;9.600;0.000;0.000;0.000
17/12/2006;10:01:00;0.370;0.000;240.260;2.400;0.000;0.000;0.000
17/12/2006;10:02:00;0.472;0.000;240.150;2.400;0.000;0.000;0.000
17/12/2006;10:03:00;3.054;0.060;237.550;13.400;0.000;0.000;18.000
17/12/2006;10:04:00;3.480;0.066;235.970;14.600;0.000;0.000;18.000
17/12/2006;10:05:00;3.572;0.046;235.650;15.000;0.000;0.000;17.000
17/12/2006;10:06:00;3.560;0.058;235.440;15.000;0.000;0.000;18.000
17/12/2006;10:07:00;3.528;0.056;234.710;15.000;0.000;0.000;17.000
17/12/2006;10:08:00;3.490;0.050;233.520;14.800;0.000;0.000;16.000
17/12/2006;10:09:00;2.038;0.068;235.760;9.400;0.000;0.000;17.000
17/12/2006;10:10:00;1.406;0.078;237.130;5.800;0.000;0.000;18.000
